#seq_name	length	coverage	circular	repeat	mult	telomere	alt_group	graph_path
contig_82	13049	3	N	N	1	both	*	82
contig_83	34683	4	N	N	1	both	*	83
contig_84	51518	6	N	N	1	both	*	84
contig_85	56042	6	N	N	1	both	*	85
contig_86	12734	3	N	N	1	both	*	86
contig_87	64047	7	N	N	1	both	*	87
contig_88	15291	6	N	N	1	both	*	88
contig_89	21463	3	N	N	1	both	*	89
contig_90	32406	4	N	N	1	both	*	90
contig_91	10523	3	N	N	1	both	*	91
contig_92	60946	6	N	N	1	both	*	92
contig_93	24363	6	N	N	1	both	*	93
contig_94	56161	7	N	N	1	both	*	94
contig_95	77404	7	N	N	1	both	*	95
contig_96	22439	5	N	N	1	both	*	96
contig_97	20632	5	N	N	1	both	*	97
contig_98	34304	5	N	N	1	both	*	98
contig_99	12789	4	N	N	1	both	*	99
contig_100	50976	4	N	N	1	both	*	100
contig_101	27162	5	N	N	1	both	*	101
contig_102	25957	6	N	N	1	both	*	102
contig_103	50994	5	N	N	1	both	*	103
contig_104	32427	3	N	N	1	both	*	104
contig_105	90494	5	N	N	1	both	*	105
contig_106	27898	7	N	N	1	both	*	106
contig_107	9917	4	N	N	1	both	*	107
contig_108	15973	5	N	N	1	both	*	108
contig_109	6769	3	N	N	1	both	*	109
contig_110	21740	3	N	N	1	both	*	110
contig_111	28736	7	N	N	1	both	*	111
contig_112	40907	4	N	N	1	both	*	112
contig_113	9687	3	N	N	1	both	*	113
contig_114	28926	4	N	N	1	both	*	114
contig_115	32166	5	N	N	1	both	*	115
contig_116	48411	4	N	N	1	both	*	116
contig_117	12846	6	N	N	1	both	*	117
contig_118	37455	7	N	N	1	both	*	118
contig_120	18766	4	N	N	1	both	*	120
contig_121	40713	3	N	N	1	both	*	121
contig_123	41739	6	N	N	1	both	*	123
contig_124	13313	6	N	N	1	both	*	124
contig_125	13477	4	N	N	1	both	*	125
contig_126	50663	5	N	N	1	both	*	126
contig_127	26608	3	N	N	1	both	*	127
contig_128	31154	3	N	N	1	both	*	128
contig_129	40046	4	N	N	1	both	*	129
contig_130	74083	4	N	N	1	both	*	130
contig_131	38764	3	N	N	1	both	*	131
contig_132	11627	5	N	N	1	both	*	132
contig_133	36808	6	N	N	1	both	*	133
contig_134	15881	6	N	N	1	both	*	134
contig_135	21380	4	N	N	1	both	*	135
contig_136	21182	4	N	N	1	both	*	136
contig_137	28226	3	N	N	1	both	*	137
contig_138	7807	5	N	N	1	both	*	138
contig_139	8185	3	N	N	1	both	*	139
contig_140	23958	4	N	N	1	both	*	140
contig_141	20885	4	N	N	1	both	*	141
contig_142	12110	5	N	N	1	both	*	142
contig_143	23458	3	N	N	1	both	*	143
contig_144	286417	6	N	N	1	both	*	144
contig_145	18116	3	N	N	1	both	*	145
contig_146	21300	3	N	N	1	both	*	146
contig_147	18117	5	N	N	1	both	*	147
contig_148	43237	6	N	N	1	both	*	148
contig_149	28928	4	N	N	1	both	*	149
contig_150	70752	5	N	N	1	both	*	150
contig_151	38429	6	N	N	1	both	*	151
contig_152	21118	3	N	N	1	both	*	152
contig_153	12059	3	N	N	1	both	*	153
contig_154	9868	3	N	N	1	both	*	154
contig_155	16188	3	N	N	1	both	*	155
contig_156	22745	5	N	N	1	both	*	156
contig_157	66838	5	N	N	1	both	*	157
contig_158	38257	7	N	N	1	both	*	158
contig_159	10959	6	N	N	1	both	*	159
contig_160	15260	4	N	N	1	both	*	160
contig_161	9415	5	N	N	1	both	*	161
contig_162	24584	5	N	N	1	both	*	162
contig_163	18198	4	N	N	1	both	*	163
contig_164	87437	6	N	N	1	both	*	164
contig_165	30886	5	N	N	1	both	*	165
contig_166	32804	6	N	N	1	both	*	166
contig_167	12252	4	N	N	1	both	*	167
contig_168	22478	4	N	N	1	both	*	168
contig_169	29995	5	N	N	1	both	*	169
contig_170	15003	4	N	N	1	both	*	170
contig_171	10966	3	N	N	1	both	*	171
contig_172	16042	5	N	N	1	both	*	172
contig_173	44322	4	N	N	1	both	*	173
contig_174	19191	3	N	N	1	both	*	174
contig_175	23274	3	N	N	1	both	*	175
contig_176	18576	4	N	N	1	both	*	176
contig_177	16784	3	N	N	1	both	*	177
contig_178	26936	7	N	N	1	both	*	178
contig_179	83242	5	N	N	1	both	*	179
contig_180	23635	3	N	N	1	both	*	180
contig_181	82420	3	N	N	1	both	*	181
contig_182	7203	6	N	N	1	both	*	182
contig_183	18831	4	N	N	1	both	*	183
contig_184	6823	4	N	N	1	both	*	184
contig_185	14422	4	N	N	1	both	*	185
contig_186	14583	4	N	N	1	both	*	186
contig_187	5877	3	N	N	1	both	*	187
contig_188	18757	5	N	N	1	both	*	188
contig_189	41434	3	N	N	1	both	*	189
contig_190	9960	3	N	N	1	both	*	190
contig_191	23804	3	N	N	1	both	*	191
contig_192	17015	5	N	N	1	both	*	192
contig_193	26226	7	N	N	1	both	*	193
contig_194	20002	5	N	N	1	both	*	194
contig_195	14377	5	N	N	1	both	*	195
contig_196	15474	3	N	N	1	both	*	196
contig_197	20436	5	N	N	1	both	*	197
contig_199	46712	5	N	N	1	both	*	199
contig_201	58491	6	N	N	1	both	*	201
contig_202	19693	4	N	N	1	both	*	202
contig_203	29033	6	N	N	1	both	*	203
contig_204	10690	4	N	N	1	both	*	204
contig_205	18847	4	N	N	1	both	*	205
contig_206	21130	4	N	N	1	both	*	206
contig_207	14223	3	N	N	1	both	*	207
contig_208	17762	4	N	N	1	both	*	208
contig_209	10405	6	N	N	1	both	*	209
contig_210	14450	4	N	N	1	both	*	210
contig_211	9388	3	N	N	1	both	*	211
contig_212	41215	6	N	N	1	both	*	212
contig_213	13201	4	N	N	1	both	*	213
contig_214	15504	5	N	N	1	both	*	214
contig_215	75672	7	N	N	1	both	*	215
contig_216	20387	6	N	N	1	both	*	216
contig_217	21082	3	N	N	1	both	*	217
contig_218	9284	3	N	N	1	both	*	218
contig_219	9709	4	N	N	1	both	*	219
contig_220	19440	3	N	N	1	both	*	220
contig_221	27764	5	N	N	1	both	*	221
contig_222	6551	3	N	N	1	both	*	222
contig_223	14209	3	N	N	1	both	*	223
contig_224	14455	3	N	N	1	both	*	224
contig_225	38652	4	N	N	1	both	*	225
contig_226	10992	7	N	N	1	both	*	226
contig_228	17049	3	N	N	1	both	*	228
contig_229	14419	3	N	N	1	both	*	229
contig_230	24840	5	N	N	1	both	*	230
contig_231	10587	3	N	N	1	both	*	231
contig_232	18948	5	N	N	1	both	*	232
contig_233	21017	5	N	N	1	both	*	233
contig_234	15800	3	N	N	1	both	*	234
contig_235	5603	3	N	N	1	both	*	235
contig_236	183714	6	N	N	1	both	*	236
contig_237	13649	5	N	N	1	both	*	237
contig_238	34969	4	N	N	1	both	*	238
contig_239	16066	3	N	N	1	both	*	239
contig_240	35572	3	N	N	1	both	*	240
contig_241	20977	4	N	N	1	both	*	241
contig_242	15791	4	N	N	1	both	*	242
contig_243	25574	5	N	N	1	both	*	243
contig_244	14179	3	N	N	1	both	*	244
contig_245	147579	6	N	N	1	both	*	245
contig_246	10274	3	N	N	1	both	*	246
contig_247	14726	5	N	N	1	both	*	247
contig_248	20093	3	N	N	1	both	*	248
contig_249	8899	3	N	N	1	both	*	249
contig_250	13142	4	N	N	1	both	*	250
contig_251	20542	3	N	N	1	both	*	251
contig_252	64291	5	N	N	1	both	*	252
contig_253	31417	3	N	N	1	both	*	253
contig_254	9461	6	N	N	1	both	*	254
contig_255	16089	4	N	N	1	both	*	255
contig_256	8138	3	N	N	1	both	*	256
contig_257	50883	6	N	N	1	both	*	257
contig_258	12394	4	N	N	1	both	*	258
contig_259	38975	4	N	N	1	both	*	259
contig_260	11268	3	N	N	1	both	*	260
contig_261	17431	4	N	N	1	both	*	261
contig_262	9254	6	N	N	1	both	*	262
contig_263	33037	4	N	N	1	both	*	263
contig_264	11521	3	N	N	1	both	*	264
contig_265	16396	4	N	N	1	both	*	265
contig_266	17758	5	N	N	1	both	*	266
contig_267	72016	7	N	N	1	both	*	267
contig_268	7115	3	N	N	1	both	*	268
contig_269	16299	3	N	N	1	both	*	269
contig_270	11122	5	N	N	1	both	*	270
contig_271	16250	4	N	N	1	both	*	271
contig_272	9363	3	N	N	1	both	*	272
contig_273	53988	7	N	N	1	both	*	273
contig_274	17387	4	N	N	1	both	*	274
contig_275	10935	3	N	N	1	both	*	275
contig_276	19444	5	N	N	1	both	*	276
contig_277	133160	6	N	N	1	both	*	277
contig_278	24981	3	N	N	1	both	*	278
contig_279	9339	4	N	N	1	both	*	279
contig_280	9295	6	N	N	1	both	*	280
contig_281	44171	6	N	N	1	both	*	281
contig_282	16861	7	N	N	1	both	*	282
contig_283	14185	4	N	N	1	both	*	283
contig_284	40484	6	N	N	1	both	*	284
contig_285	7137	3	N	N	1	both	*	285
contig_286	8090	3	N	N	1	both	*	286
contig_287	66022	6	N	N	1	both	*	287
contig_288	12327	3	N	N	1	both	*	288
contig_289	9019	3	N	N	1	both	*	289
contig_290	129170	7	N	N	1	both	*	290
contig_292	9378	3	N	N	1	both	*	292
contig_293	15001	6	N	N	1	both	*	293
contig_294	34123	5	N	N	1	both	*	294
contig_295	16681	4	N	N	1	both	*	295
contig_296	17508	3	N	N	1	both	*	296
contig_297	30794	3	N	N	1	both	*	297
contig_298	9301	5	N	N	1	both	*	298
contig_299	11574	3	N	N	1	both	*	299
contig_300	38060	5	N	N	1	both	*	300
contig_301	10232	7	N	N	1	both	*	301
contig_302	8712	4	N	N	1	both	*	302
contig_303	8389	3	N	N	1	both	*	303
contig_304	16639	4	N	N	1	both	*	304
contig_305	19184	7	N	N	1	both	*	305
contig_306	10578	3	N	N	1	both	*	306
contig_307	17645	4	N	N	1	both	*	307
contig_308	13019	5	N	N	1	both	*	308
contig_309	10202	4	N	N	1	both	*	309
contig_310	17663	7	N	N	1	both	*	310
contig_311	6558	3	N	N	1	both	*	311
contig_312	9547	3	N	N	1	both	*	312
contig_313	15442	3	N	N	1	both	*	313
contig_314	155647	4	N	N	1	both	*	314
contig_315	10311	3	N	N	1	both	*	315
contig_316	11840	4	N	N	1	both	*	316
contig_317	11930	3	N	N	1	both	*	317
contig_318	59689	6	N	N	1	both	*	318
contig_319	17774	6	N	N	1	both	*	319
contig_320	31032	6	N	N	1	both	*	320
contig_321	6633	3	N	N	1	both	*	321
contig_322	8870	3	N	N	1	both	*	322
contig_323	14984	5	N	N	1	both	*	323
contig_324	68998	6	N	N	1	both	*	324
contig_325	50188	5	N	N	1	both	*	325
contig_326	14172	4	N	N	1	both	*	326
contig_327	45408	6	N	N	1	both	*	327
contig_328	19801	6	N	N	1	both	*	328
contig_329	17602	3	N	N	1	both	*	329
contig_330	189052	7	N	N	1	both	*	330
contig_331	10266	3	N	N	1	both	*	331
contig_332	89668	7	N	N	1	both	*	332
contig_333	20621	4	N	N	1	both	*	333
contig_334	19232	5	N	N	1	both	*	334
contig_335	86167	6	N	N	1	both	*	335
contig_336	61082	6	N	N	1	both	*	336
contig_337	11553	5	N	N	1	both	*	337
contig_338	13083	3	N	N	1	both	*	338
contig_339	24593	6	N	N	1	both	*	339
contig_340	17368	3	N	N	1	both	*	340
contig_341	60038	4	N	N	1	both	*	341
contig_342	12173	3	N	N	1	both	*	342
contig_343	57085	6	N	N	1	both	*	343
contig_344	62219	4	N	N	1	both	*	344
contig_345	15120	5	N	N	1	both	*	345
contig_346	7296	3	N	N	1	both	*	346
contig_347	100264	7	N	N	1	both	*	347
contig_348	16515	3	N	N	1	both	*	348
contig_349	51878	7	N	N	1	both	*	349
contig_350	11485	4	N	N	1	both	*	350
contig_351	22391	3	N	N	1	both	*	351
contig_352	12090	7	N	N	1	both	*	352
contig_353	36569	4	N	N	1	both	*	353
contig_354	16379	3	N	N	1	both	*	354
contig_355	48593	4	N	N	1	both	*	355
contig_7	96819	9	N	Y	2	both	*	7
contig_9	18708	8	N	Y	2	both	*	9
contig_19	126733	8	N	Y	2	both	*	19
contig_28	43646	8	N	Y	2	both	*	28
contig_70	49117	9	N	Y	2	both	*	70
contig_76	20795	11	N	Y	2	both	*	76
contig_119	21816	9	N	Y	2	both	*	119
contig_122	14953	9	N	Y	2	both	*	122
contig_198	21361	8	N	Y	2	both	*	198
contig_200	15179	12	N	Y	2	both	*	200
contig_227	39650	11	N	Y	2	both	*	227
contig_291	12104	9	N	Y	2	both	*	291
