#seq_name	length	cov.	circ.	repeat	mult.	alt_group	graph_path
contig_325	52932	8	N	N	1	*	*,325,*
contig_39	52735	8	N	N	1	*	*,39,*
contig_355	51863	6	N	N	1	*	*,355,*
contig_70	51350	14	N	Y	2	*	*,70,*
contig_116	51072	5	N	N	1	*	*,116,*
contig_37	50881	9	N	N	1	*	*,37,*
contig_45	49463	7	N	N	1	*	*,45,*
contig_49	49303	10	N	N	1	*	*,49,*
contig_199	48736	10	N	N	1	*	*,199,*
contig_46	48275	6	N	N	1	*	*,46,*
contig_57	47558	11	N	N	1	*	*,57,*
contig_327	47402	8	N	N	1	*	*,327,*
contig_173	47064	9	N	N	1	*	*,173,*
contig_281	46595	8	N	N	1	*	*,281,*
contig_148	45699	10	N	N	1	*	*,148,*
contig_34	45475	8	N	N	1	*	*,34,*
contig_28	45356	11	N	Y	2	*	*,28,*
contig_78	45287	8	N	N	1	*	*,78,*
contig_38	45213	6	N	N	1	*	*,38,*
contig_60	44817	8	N	N	1	*	*,60,*
contig_8	44808	7	N	N	1	*	*,8,*
contig_123	44218	8	N	N	1	*	*,123,*
contig_189	43910	4	N	N	1	*	*,189,*
contig_212	43821	8	N	N	1	*	*,212,*
contig_121	43652	5	N	N	1	*	*,121,*
contig_112	43639	6	N	N	1	*	*,112,*
contig_77	43033	10	N	N	1	*	*,77,*
contig_129	42855	6	N	N	1	*	*,129,*
contig_284	42335	9	N	N	1	*	*,284,*
contig_227	41439	16	N	Y	2	*	*,227,*
contig_259	41428	6	N	N	1	*	*,259,*
contig_131	41297	7	N	N	1	*	*,131,*
contig_225	40975	7	N	N	1	*	*,225,*
contig_151	40838	10	N	N	1	*	*,151,*
contig_300	40396	7	N	N	1	*	*,300,*
contig_158	40371	10	N	N	1	*	*,158,*
contig_118	39222	11	N	N	1	*	*,118,*
contig_353	38836	6	N	N	1	*	*,353,*
contig_133	38484	10	N	N	1	*	*,133,*
contig_56	37963	8	N	N	1	*	*,56,*
contig_240	37900	4	N	N	1	*	*,240,*
contig_238	37517	6	N	N	1	*	*,238,*
contig_48	37034	10	N	N	1	*	*,48,*
contig_83	36983	7	N	N	1	*	*,83,*
contig_32	36850	9	N	N	1	*	*,32,*
contig_98	36378	10	N	N	1	*	*,98,*
contig_44	36304	9	N	N	1	*	*,44,*
contig_294	35810	10	N	N	1	*	*,294,*
contig_263	35422	5	N	N	1	*	*,263,*
contig_15	34955	8	N	N	1	*	*,15,*
contig_31	34914	7	N	N	1	*	*,31,*
contig_166	34850	10	N	N	1	*	*,166,*
contig_90	34445	5	N	N	1	*	*,90,*
contig_104	34105	5	N	N	1	*	*,104,*
contig_115	34080	7	N	N	1	*	*,115,*
contig_253	33739	5	N	N	1	*	*,253,*
contig_297	33043	5	N	N	1	*	*,297,*
contig_320	32964	9	N	N	1	*	*,320,*
contig_165	32749	9	N	N	1	*	*,165,*
contig_128	32638	5	N	N	1	*	*,128,*
contig_169	32068	7	N	N	1	*	*,169,*
contig_51	31874	8	N	N	2	*	*,51,*
contig_149	31139	6	N	N	1	*	*,149,*
contig_5	31113	6	N	N	1	*	*,5,*
contig_203	30772	9	N	N	1	*	*,203,*
contig_114	30521	7	N	N	1	*	*,114,*
contig_111	30199	12	N	N	1	*	*,111,*
contig_137	30133	3	N	N	1	*	*,137,*
contig_80	30051	7	N	N	1	*	*,80,*
contig_41	29956	7	N	N	1	*	*,41,*
contig_221	29686	8	N	N	1	*	*,221,*
contig_106	29504	11	N	N	1	*	*,106,*
contig_52	28627	6	N	N	1	*	*,52,*
contig_101	28304	8	N	N	1	*	*,101,*
contig_178	28070	10	N	N	1	*	*,178,*
contig_24	27929	6	N	N	1	*	*,24,*
contig_193	27862	11	N	N	1	*	*,193,*
contig_127	27425	6	N	N	1	*	*,127,*
contig_58	27345	8	N	N	1	*	*,58,*
contig_102	27225	9	N	N	1	*	*,102,*
contig_243	27108	8	N	N	1	*	*,243,*
contig_278	26917	5	N	N	1	*	*,278,*
contig_230	26141	8	N	N	1	*	*,230,*
contig_162	25889	8	N	N	1	*	*,162,*
contig_54	25860	8	N	N	1	*	*,54,*
contig_339	25786	10	N	N	1	*	*,339,*
contig_93	25668	9	N	N	1	*	*,93,*
contig_23	25511	8	N	N	1	*	*,23,*
contig_63	25496	10	N	N	1	*	*,63,*
contig_62	25491	7	N	N	1	*	*,62,*
contig_140	25421	6	N	N	1	*	*,140,*
contig_191	25260	4	N	N	1	*	*,191,*
contig_180	25173	8	N	N	2	*	*,180,*
contig_175	24829	4	N	N	1	*	*,175,*
contig_143	24774	6	N	N	1	*	*,143,*
contig_74	24057	6	N	N	1	*	*,74,*
contig_351	24045	4	N	N	1	*	*,351,*
contig_168	23833	9	N	N	1	*	*,168,*
contig_156	23793	9	N	N	1	*	*,156,*
contig_96	23691	7	N	N	1	*	*,96,*
contig_18	23208	9	N	N	1	*	*,18,*
contig_110	23038	6	N	N	1	*	*,110,*
contig_119	22865	16	N	Y	3	*	*,119,*
contig_241	22847	7	N	N	1	*	*,241,*
contig_89	22784	5	N	N	1	*	*,89,*
contig_217	22636	5	N	N	1	*	*,217,*
contig_152	22605	5	N	N	1	*	*,152,*
contig_136	22535	8	N	N	1	*	*,136,*
contig_135	22426	7	N	N	1	*	*,135,*
contig_206	22370	6	N	N	1	*	*,206,*
contig_233	22303	9	N	N	1	*	*,233,*
contig_198	22291	11	N	Y	2	*	*,198,*
contig_146	22256	7	N	N	1	*	*,146,*
contig_141	22185	7	N	N	1	*	*,141,*
contig_333	21916	7	N	N	1	*	*,333,*
contig_97	21902	10	N	N	1	*	*,97,*
contig_76	21773	15	N	Y	2	*	*,76,*
contig_251	21627	4	N	N	1	*	*,251,*
contig_197	21519	8	N	N	1	*	*,197,*
contig_14	21502	6	N	N	1	*	*,14,*
contig_194	21486	6	N	N	1	*	*,194,*
contig_216	21368	8	N	N	1	*	*,216,*
contig_59	21216	6	N	N	1	*	*,59,*
contig_220	21153	3	N	N	1	*	*,220,*
contig_248	21152	6	N	N	1	*	*,248,*
contig_328	21025	10	N	N	1	*	*,328,*
contig_27	20759	8	N	N	1	*	*,27,*
contig_202	20619	5	N	N	1	*	*,202,*
contig_305	20485	8	N	N	1	*	*,305,*
contig_276	20468	9	N	N	1	*	*,276,*
contig_174	20451	8	N	N	2	*	*,174,*
contig_2	20389	5	N	N	1	*	*,2,*
contig_334	20331	12	N	N	2	*	*,334,*
contig_205	20096	7	N	N	1	*	*,205,*
contig_61	20084	8	N	N	1	*	*,61,*
contig_120	19920	6	N	N	1	*	*,120,*
contig_232	19865	6	N	N	1	*	*,232,*
contig_188	19806	10	N	N	1	*	*,188,*
contig_176	19625	5	N	N	1	*	*,176,*
contig_183	19607	7	N	N	1	*	*,183,*
contig_9	19569	9	N	Y	2	*	*,9,*
contig_163	19319	4	N	N	1	*	*,163,*
contig_147	19163	7	N	N	1	*	*,147,*
contig_3	18836	5	N	N	1	*	*,3,*
contig_296	18824	3	N	N	1	*	*,296,*
contig_208	18804	6	N	N	1	*	*,208,*
contig_319	18750	10	N	N	1	*	*,319,*
contig_340	18742	4	N	N	1	*	*,340,*
contig_266	18688	7	N	N	1	*	*,266,*
contig_329	18668	6	N	N	1	*	*,329,*
contig_145	18656	3	N	N	1	*	*,145,*
contig_261	18615	7	N	N	1	*	*,261,*
contig_274	18546	6	N	N	1	*	*,274,*
contig_228	18475	3	N	N	1	*	*,228,*
contig_310	18445	10	N	N	1	*	*,310,*
contig_307	18400	6	N	N	1	*	*,307,*
contig_192	18032	8	N	N	1	*	*,192,*
contig_295	17946	4	N	N	1	*	*,295,*
contig_282	17790	11	N	N	1	*	*,282,*
contig_177	17782	4	N	N	1	*	*,177,*
contig_354	17648	6	N	N	1	*	*,354,*
contig_348	17607	4	N	N	1	*	*,348,*
contig_271	17450	6	N	N	1	*	*,271,*
contig_265	17384	8	N	N	1	*	*,265,*
contig_269	17349	3	N	N	1	*	*,269,*
contig_304	17299	7	N	N	1	*	*,304,*
contig_155	17125	4	N	N	1	*	*,155,*
contig_234	17124	4	N	N	1	*	*,234,*
contig_255	16942	6	N	N	1	*	*,255,*
contig_239	16922	4	N	N	1	*	*,239,*
contig_108	16919	6	N	N	1	*	*,108,*
contig_196	16877	4	N	N	1	*	*,196,*
contig_172	16771	10	N	N	1	*	*,172,*
contig_134	16732	9	N	N	1	*	*,134,*
contig_313	16687	4	N	N	1	*	*,313,*
contig_242	16619	5	N	N	1	*	*,242,*
contig_160	16299	6	N	N	1	*	*,160,*
contig_214	16269	9	N	N	1	*	*,214,*
contig_88	16257	8	N	N	1	*	*,88,*
contig_170	16113	9	N	N	1	*	*,170,*
contig_345	15924	6	N	N	1	*	*,345,*
contig_200	15914	17	N	Y	2	*	*,200,*
contig_323	15873	9	N	N	1	*	*,323,*
contig_293	15857	8	N	N	1	*	*,293,*
contig_122	15720	13	N	Y	2	*	*,122,*
contig_186	15658	9	N	N	1	*	*,186,*
contig_229	15475	5	N	N	1	*	*,229,*
contig_247	15406	6	N	N	1	*	*,247,*
contig_195	15385	7	N	N	1	*	*,195,*
contig_210	15365	6	N	N	1	*	*,210,*
contig_283	15249	5	N	N	1	*	*,283,*
contig_185	15197	8	N	N	1	*	*,185,*
contig_326	15193	7	N	N	1	*	*,326,*
contig_224	15133	4	N	N	1	*	*,224,*
contig_244	15006	3	N	N	1	*	*,244,*
contig_223	14966	5	N	N	1	*	*,223,*
contig_50	14916	6	N	N	1	*	*,50,*
contig_207	14854	7	N	N	1	*	*,207,*
contig_73	14850	10	N	N	1	*	*,73,*
contig_237	14399	7	N	N	1	*	*,237,*
contig_250	14188	7	N	N	1	*	*,250,*
contig_124	14128	9	N	N	1	*	*,124,*
contig_125	14121	8	N	N	1	*	*,125,*
contig_82	14110	5	N	N	1	*	*,82,*
contig_308	14061	7	N	N	1	*	*,308,*
contig_338	14034	5	N	N	1	*	*,338,*
contig_213	13824	5	N	N	1	*	*,213,*
contig_81	13774	5	N	N	1	*	*,81,*
contig_117	13655	7	N	N	1	*	*,117,*
contig_86	13551	6	N	N	1	*	*,86,*
contig_99	13461	6	N	N	1	*	*,99,*
contig_153	13029	5	N	N	1	*	*,153,*
contig_258	13028	5	N	N	1	*	*,258,*
contig_288	12997	5	N	N	1	*	*,288,*
contig_167	12982	7	N	N	1	*	*,167,*
contig_316	12837	5	N	N	1	*	*,316,*
contig_317	12742	5	N	N	1	*	*,317,*
contig_142	12730	11	N	N	1	*	*,142,*
contig_352	12699	11	N	N	1	*	*,352,*
contig_291	12652	13	N	Y	2	*	*,291,*
contig_342	12568	3	N	N	1	*	*,342,*
contig_264	12523	4	N	N	1	*	*,264,*
contig_299	12456	5	N	N	1	*	*,299,*
contig_350	12286	6	N	N	1	*	*,350,*
contig_132	12142	9	N	N	1	*	*,132,*
contig_337	12048	7	N	N	1	*	*,337,*
contig_260	11957	3	N	N	1	*	*,260,*
contig_275	11847	5	N	N	1	*	*,275,*
contig_35	11760	6	N	N	1	*	*,35,*
contig_270	11641	7	N	N	1	*	*,270,*
contig_171	11577	4	N	N	1	*	*,171,*
contig_226	11526	9	N	N	1	*	*,226,*
contig_159	11520	10	N	N	1	*	*,159,*
contig_204	11416	6	N	N	1	*	*,204,*
contig_231	11406	4	N	N	1	*	*,231,*
contig_26	11355	8	N	N	1	*	*,26,*
contig_22	11292	5	N	N	1	*	*,22,*
contig_91	11274	4	N	N	1	*	*,91,*
contig_43	11177	4	N	N	1	*	*,43,*
contig_21	11073	3	N	N	1	*	*,21,*
contig_306	11004	4	N	N	1	*	*,306,*
contig_246	10990	3	N	N	1	*	*,246,*
contig_331	10971	5	N	N	1	*	*,331,*
contig_209	10884	9	N	N	1	*	*,209,*
contig_309	10755	6	N	N	1	*	*,309,*
contig_315	10709	6	N	N	1	*	*,315,*
contig_301	10613	7	N	N	1	*	*,301,*
contig_190	10472	7	N	N	1	*	*,190,*
contig_219	10470	8	N	N	1	*	*,219,*
contig_107	10462	4	N	N	1	*	*,107,*
contig_154	10412	3	N	N	1	*	*,154,*
contig_113	10336	7	N	N	1	*	*,113,*
contig_312	10265	3	N	N	1	*	*,312,*
contig_292	10160	4	N	N	1	*	*,292,*
contig_254	10059	9	N	N	1	*	*,254,*
contig_161	10055	12	N	N	2	*	*,161,*
contig_71	9969	5	N	N	1	*	*,71,*
contig_279	9929	5	N	N	1	*	*,279,*
contig_298	9922	8	N	N	1	*	*,298,*
contig_211	9916	3	N	N	1	*	*,211,*
contig_262	9816	7	N	N	1	*	*,262,*
contig_280	9776	9	N	N	1	*	*,280,*
contig_272	9738	3	N	N	1	*	*,272,*
contig_218	9636	8	N	N	2	*	*,218,*
contig_289	9629	4	N	N	1	*	*,289,*
contig_249	9614	3	N	N	1	*	*,249,*
contig_322	9539	3	N	N	1	*	*,322,*
contig_303	9261	5	N	N	1	*	*,303,*
contig_302	9164	5	N	N	1	*	*,302,*
contig_53	8830	5	N	N	1	*	*,53,*
contig_139	8756	5	N	N	1	*	*,139,*
contig_256	8674	8	N	N	2	*	*,256,*
contig_286	8581	4	N	N	1	*	*,286,*
contig_69	8414	6	N	N	1	*	*,69,*
contig_138	8221	5	N	N	1	*	*,138,*
contig_346	7853	4	N	N	1	*	*,346,*
contig_182	7779	10	N	N	1	*	*,182,*
contig_285	7561	4	N	N	1	*	*,285,*
contig_268	7512	4	N	N	1	*	*,268,*
contig_184	7361	5	N	N	1	*	*,184,*
contig_109	7278	3	N	N	1	*	*,109,*
contig_311	7129	4	N	N	1	*	*,311,*
contig_222	7019	5	N	N	1	*	*,222,*
contig_321	6938	7	N	N	1	*	*,321,*
contig_187	6277	3	N	N	1	*	*,187,*
contig_235	6098	4	N	N	1	*	*,235,*
